Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
45233-007,Pakistan,Sovereign,Grant | Loan,08/12/2021,"603,000,000.00",Nation-wide,Education | Health | Public sector management
45296-006,Philippines,Sovereign,Loan | Technical Assistance,29/06/2023,"1,015,190,000.00",Davao City,Transport
45296-007,Philippines,Sovereign,Technical Assistance,16/12/2022,"225,000.00","Davao, Davao",Transport
45301-002,Lao People's Democratic Republic,Sovereign,Grant | Loan,09/10/2013,"65,500,000.00","Nation-wide, Ban Boten, Ban Boten, Ban Houayxay, Ban Phamuang, Ban Sopbao, Dakcheung, Lamam, Muang Kasi, Muang Long, Muang Louang Namtha, Muang Pakxan, Muang Pha Oudom, Muang Phon-Hong, Muang Phonsavan, Muang Thathom, Sainyabuli, Sanaxy, Xam Nua",Water and other urban infrastructure and services
45366-004,Uzbekistan,Sovereign,Loan,27/11/2013,"69,000,000.00","Ohangaron Tumani, Tashkent",Water and other urban infrastructure and services
45371-007,India,Sovereign,Loan,31/05/2018,"375,000,000.00",Madhya Pradesh,"Agriculture, natural resources and rural development"
45515-001,Philippines,Sovereign,Technical Assistance,24/03/2011,"2,000,000.00",,Public sector management
46048-002,"China, People's Republic of",Sovereign,Loan,05/12/2014,"150,000,000.00",,Transport | Water and other urban infrastructure and services
46050-002,"China, People's Republic of",Sovereign,Loan,30/09/2014,"100,000,000.00",,"Agriculture, natural resources and rural development | Public sector management | Water and other urban infrastructure and services"
46066-002,Viet Nam,Sovereign,Loan,27/11/2014,"80,000,000.00",,Education
46078-002,"China, People's Republic of",Sovereign,Loan | Technical Assistance,25/10/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
46122-003,Maldives,Sovereign,Grant | Loan,29/09/2014,"38,000,000.00",,Energy
46122-005,Maldives,Sovereign,Grant | Loan,29/10/2020,"10,470,000.00",Nation-wide,Energy
46135-002,Uzbekistan,Sovereign,Loan,08/09/2015,"81,000,000.00",Jizzakh,Water and other urban infrastructure and services
46135-004,Uzbekistan,Sovereign,Loan,11/11/2016,"120,900,000.00","Qibray, Zangiota Tumani",Water and other urban infrastructure and services
46168-001,Bangladesh,Sovereign,Loan | Technical Assistance,30/09/2014,"505,600,000.00",,Transport
46185-001,Regional,Sovereign,Technical Assistance,14/01/2013,"4,500,000.00",Regional,Public sector management
46186-001,Regional,Sovereign,Technical Assistance,16/11/2012,"6,000,000.00",Regional,Public sector management
46186-007,Regional,Sovereign,Technical Assistance,25/08/2021,"5,000,000.00",Regional,Education | Energy | Health | Industry and trade | Information and communication technology | Public sector management | Transport | Water and other urban infrastructure and services
46186-008,Regional,Sovereign,Technical Assistance,26/10/2021,"2,000,000.00",Regional,Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services
46260-002,Timor-Leste,Sovereign,Grant | Loan,19/09/2013,"126,220,000.00","Barique, Baucau, Baucau, Com, Laclubar, Laclubar, Laga, Laga, Lautem, Lautem, Lospalos, Lospalos, Manatuto, Manatuto, Manehat, Natarbora, Ossu, Ossu, Sau, Soibada, Soibada, Venilale, Venilale, Viqueque, Viqueque",Transport
46268-001,India,Sovereign,Loan,30/10/2014,"500,000,000.00",,Finance
46315-001,Mongolia,Sovereign,Loan,12/11/2015,"15,000,000.00",Nation-wide,Industry and trade
46346-002,Marshall Islands,Sovereign,Grant,28/09/2015,"8,000,000.00",Ebeye,Energy | Water and other urban infrastructure and services
46348-003,Kyrgyz Republic,Sovereign,Grant | Loan,02/12/2014,"110,000,000.00",,Energy
46362-001,Philippines,Sovereign,Technical Assistance,13/09/2012,"940,000.00",,Water and other urban infrastructure and services
46362-002,Philippines,Sovereign,Loan,18/03/2016,"249,320,000.00","Nation-wide, National Capital Region",Water and other urban infrastructure and services
46368-001,Mongolia,Sovereign,Technical Assistance,11/12/2012,"360,000.00",,Public sector management
46375-002,Georgia,Sovereign,Loan,30/03/2017,"80,000,000.00",Kharagauli,Transport
46377-002,Pakistan,Sovereign,Loan,12/10/2015,"197,850,000.00","Badin, Jacobabad, Kandhkot, Khyber, Mirpur Khas District, Mirwah, Naukot, Ratodero, Sanghar, Tando Muhammad Khan",Transport
46378-002,Pakistan,Sovereign,Loan,04/12/2015,"250,000,000.00",Nation-wide,Transport
46382-001,Palau,Sovereign,Loan,07/12/2015,"25,000,000.00",Nation-wide,Information and communication technology
46390-002,Myanmar,Sovereign,Loan,23/11/2015,"80,000,000.00",Yangon Region,Energy
46391-001,Viet Nam,Sovereign,Loan,23/09/2014,"172,700,000.00",,Energy
46392-001,Afghanistan,Sovereign,Grant,25/11/2013,"99,000,000.00","Arghandeh, Bagram, Charikar, Doshi, Jabal us Saraj, Kalakan, Khinjan, Mir Bachah Kot, Paghman, Pul-e Khumri, Puli Khumri, Qarah Bagh, Salang, Shakar Darah",Energy
46418-001,Tajikistan,Sovereign,Grant,28/11/2013,"136,000,000.00",Golovnaya Power Plant,Energy
46421-001,Indonesia,Sovereign,Grant | Loan,13/12/2013,"45,520,000.00","Anambas District, Batam, Kabupaten Nias, Kabupaten Padang Pariaman, Kabupaten Tapanuli Tengah, Kepulauan Anambas, Lingga, Mentawai District, Natuna District, North Lombok Regency, Pulau Pieh, Selat Bintan","Agriculture, natural resources and rural development"
46422-003,Myanmar,Sovereign,Loan,10/11/2015,"100,000,000.00","Eindu, Kawkareik District",Transport
46436-002,Samoa,Sovereign,Grant,17/06/2014,"5,000,000.00",,"Agriculture, natural resources and rural development"
46436-003,Samoa,Sovereign,Grant,18/07/2017,0,,Agriculture and Natural Resources
46443-002,Cambodia,Sovereign,Loan,13/11/2015,"33,000,000.00","Nation-wide, Kampot Province, Sihanoukville",Water and other urban infrastructure and services
46443-003,Lao People's Democratic Republic,Sovereign,Loan,13/11/2015,"37,000,000.00","Huay Xai, Louangnamtha",Water and other urban infrastructure and services
46443-004,Viet Nam,Sovereign,Loan,01/12/2015,"100,000,000.00",Nation-wide,Water and other urban infrastructure and services
46452-002,Bangladesh,Sovereign,Loan | Technical Assistance,28/09/2016,"1,501,000,000.00","Chittagong, Cox's Bazar",Transport
46452-003,Bangladesh,Sovereign,Loan | Technical Assistance,30/09/2016,"301,000,000.00","Chittagong, Cox's Bazar",Transport
46452-004,Bangladesh,Sovereign,Loan,03/04/2019,"400,000,000.00","Nation-wide, Cox's Bazar Airport, Dohazari",Transport
46452-005,Bangladesh,Sovereign,Loan | Technical Assistance,20/06/2023,"400,450,000.00","Nation-wide, Coxs Bazar, Dohazari",Transport
46453-002,Cook Islands,Sovereign,Grant | Loan,21/11/2014,"11,190,000.00",,Energy
46462-003,India,Sovereign,Loan | Technical Assistance,21/06/2017,"85,000,000.00",Odisha,Education
46470-003,Regional,Sovereign,Technical Assistance,24/12/2018,"3,551,100.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Industry and trade | Information and communication technology | Public sector management | Transport | Water and other urban infrastructure and services"
46495-002,Papua New Guinea,Sovereign,Grant,21/10/2015,0,Nation-wide,Public sector management
46499-002,Solomon Islands,Sovereign,Grant | Loan | Technical Assistance,27/05/2016,"21,000,000.00",Nation-wide,Transport
46526-007,Pakistan,Sovereign,Loan,19/09/2017,"200,000,000.00","Sahiwal, Sialkot",Water and other urban infrastructure and services
46528-002,Pakistan,Sovereign,Loan,24/11/2017,"274,630,000.00",Jalalpur Sharif,"Agriculture, natural resources and rural development"
46534-004,Regional,Sovereign,Technical Assistance,27/07/2020,"225,000.00",Regional,Public sector management
46534-005,Regional,Sovereign,Technical Assistance,17/07/2023,"225,000.00",Regional,Public sector management
46538-002,Pakistan,Sovereign,Grant | Loan | Technical Assistance,24/11/2016,"100,000,000.00",Sindh,Energy | Public sector management | Transport
47017-003,Tajikistan,Sovereign,Grant,02/12/2014,"54,000,000.00",,Energy
47024-004,Pakistan,Sovereign,Loan,24/11/2016,"86,405,000.00",Khyber Pakhtunkhwa,"Agriculture, natural resources and rural development"
47030-002,"China, People's Republic of",Sovereign,Loan,21/09/2015,"150,000,000.00",Pingxiang,Transport | Water and other urban infrastructure and services
47036-001,Nepal,Sovereign,Grant,24/09/2013,"21,000,000.00","Bardghat, Butwal, Kabhre Palanchok, Khotang, Ramechhap",Energy
47037-003,Sri Lanka,Sovereign,Loan,15/07/2014,"300,000,000.00",,Energy
47037-004,Sri Lanka,Sovereign,Loan,29/07/2014,"150,000,000.00",,Energy
47037-005,Sri Lanka,Sovereign,Loan,05/12/2016,"150,000,000.00","Nation-wide, Beligaha Junction, Biyagama, China Bay, Colombo District, Ethgala South, Hambantota, Katunayaka, Kolonnawa Grid Substation, Mannar District, Mannar Island, Padukka, Rattanapitiya, Valaichchenai",Energy
47048-002,"China, People's Republic of",Sovereign,Loan,11/09/2015,"100,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
47052-002,"China, People's Republic of",Sovereign,Loan,09/12/2014,"150,000,000.00",,Energy
47069-002,"China, People's Republic of",Sovereign,Loan,29/06/2016,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
47071-002,"China, People's Republic of",Sovereign,Loan,07/11/2016,"100,000,000.00",Fujian,"Agriculture, natural resources and rural development"
47083-001,India,Sovereign,Loan,27/09/2013,"700,000,000.00",Nation-wide,Finance
47083-004,India,Sovereign,Loan | Technical Assistance,23/10/2018,"300,500,000.00",Nation-wide,Finance
47084-002,Indonesia,Sovereign,Grant,30/09/2016,0,"Nation-wide, Kabupaten Kapuas Hulu, Kabupaten Sintang, West Kalimantan","Agriculture, natural resources and rural development"
47085-002,Lao People's Democratic Republic,Sovereign,Loan,28/01/2016,"27,000,000.00",Nation-wide,Transport
47086-002,Myanmar,Sovereign,Loan,26/11/2014,"80,000,000.00",,Transport
47087-003,Myanmar,Sovereign,Loan,27/11/2018,"194,700,000.00","Bago, Pathein, Thilawa, Yangon",Transport
47094-001,Pakistan,Sovereign,Loan,09/12/2013,"691,300,000.00",Jamshoro,Energy
47101-001,India,Sovereign,Loan,03/07/2014,"300,000,000.00",,Energy
47101-004,India,Sovereign,Grant | Loan,07/12/2020,"231,000,000.00","Dima Hasao District, Karbi Anglong",Energy
47127-002,Myanmar,Sovereign,Grant | Loan,12/11/2015,"60,000,000.00","Nation-wide, Mandalay Region",Water and other urban infrastructure and services
47136-005,Regional,Sovereign,Technical Assistance,03/10/2017,"5,000,000.00",Regional,Education | Health
47136-006,Cambodia,Sovereign,Loan,28/09/2018,"50,000,000.00",Nation-wide,Education
47140-002,Viet Nam,Sovereign,Loan,08/12/2016,"100,000,000.00",Nation-wide,Education
47152-002,Myanmar,Sovereign,Grant | Loan | Technical Assistance,28/11/2016,"75,000,000.00","Magway District, Magway Region, Mandalay Region, Meiktila District, Sagaing Region, Shwebo District, Yamethin District","Agriculture, natural resources and rural development"
47174-001,Mongolia,Sovereign,Loan,22/04/2016,"54,000,000.00",Nation-wide,Industry and trade
47174-002,Mongolia,Sovereign,Loan,30/08/2019,"27,000,000.00",Nation-wide,Industry and trade
47181-002,Tajikistan,Sovereign,Grant | Loan | Technical Assistance,28/09/2016,"46,500,000.00","Farkhor District, Hamadoni District, Vose' District","Agriculture, natural resources and rural development"
47181-005,Tajikistan,Sovereign,Technical Assistance,29/12/2020,"225,000.00","Farkhor District, Hamadoni District, Vose' District","Agriculture, natural resources and rural development"
47187-001,Myanmar,Sovereign,Grant,27/02/2014,0,,Water and other urban infrastructure and services
47190-002,Pakistan,Sovereign,Loan,20/11/2015,"990,000,000.00",Nation-wide,Energy
47190-003,Pakistan,Sovereign,Loan,25/11/2015,"400,000,000.00","Nation-wide, Islamabad, Lahore",Energy
47235-001,Pakistan,Sovereign,Loan,22/09/2014,"150,000,000.00",,"Agriculture, natural resources and rural development"
47243-004,Bangladesh,Sovereign,Loan | Technical Assistance,07/06/2016,"303,000,000.00","Nation-wide, B-baria City, Bogra, Chandpur, Chapai Nawabganj, Chittagong, Chuadanga, Comilla, Cox's Bazar, Dinajpur, Faridpur, Feni, Gaibandha, Gopalganj, Jessore, Jhenaidah Sardar UZ, Joypurhat, Kurigram, Kushtia, Laksmipur, Lalmanirhat, Madaripur, Magura, Meherpur, Naogaon, Narail, Natore, Nilphamari, Noakhali, Panchagarh, Rajbari, Rajshahi, Rangpur, Shariatpur, Thakurgaon","Agriculture, natural resources and rural development"
47243-005,Bangladesh,Sovereign,Loan,11/06/2020,"100,000,000.00","Nation-wide, Dhaka","Agriculture, natural resources and rural development"
47243-006,Bangladesh,Sovereign,Loan,10/07/2023,"190,000,000.00",Nation-wide,"Agriculture, natural resources and rural development"
47252-002,Nepal,Sovereign,Loan | Technical Assistance,22/09/2017,"151,000,000.00","Bhimdatta N.P., Biratnagar, Birgunj, Dhangadhi, Godawari, Nepalgunj, Royal Shuklaphanta, Siddharthanagar",Water and other urban infrastructure and services
47254-003,Bangladesh,Sovereign,Loan,24/06/2016,"275,000,000.00",Dhaka,Water and other urban infrastructure and services
47273-002,Sri Lanka,Sovereign,Loan,25/09/2014,"800,000,000.00",,Transport
47273-006,Sri Lanka,Sovereign,Loan,04/12/2017,"150,000,000.00",Nation-wide,Transport
47274-003,Viet Nam,Sovereign,Grant | Loan | Technical Assistance,31/10/2017,"170,000,000.00","Hue, Tinh Ha Giang, Vinh Yen",Transport | Water and other urban infrastructure and services
47279-002,Pakistan,Sovereign,Grant | Loan,05/07/2019,"235,000,000.00",Karachi,Energy | Transport
47282-001,Afghanistan,Sovereign,Grant | Loan,04/12/2015,"750,000,000.00","Nation-wide, Afghanistan",Energy
47282-003,Afghanistan,Sovereign,Grant,08/12/2015,"110,000,000.00","Baghlan, Balkh, Faryab, Samangan, Wilayat-e Jowzjan",Energy
47282-004,Afghanistan,Sovereign,Grant,05/12/2016,"58,628,345.00",Nation-wide,Energy
47282-006,Afghanistan,Sovereign,Grant,07/12/2017,0,"Jalalabad, Kabul",Energy
47282-007,Afghanistan,Sovereign,Grant,30/09/2020,"110,000,000.00",Nation-wide,Energy
47282-008,Afghanistan,Sovereign,Grant,06/12/2018,"143,420,000.00",Nation-wide,Energy
47282-009,Afghanistan,Sovereign,Grant,02/12/2020,"36,400,000.00",Nation-wide,Energy
47284-002,Bhutan,Sovereign,Grant | Loan,31/08/2016,"19,610,000.00",Phuentsholing,Industry and trade | Transport
47296-001,Uzbekistan,Sovereign,Loan,22/09/2015,"150,000,000.00","Nation-wide, Karakalpakstan, Khiva",Energy
47300-002,Lao People's Democratic Republic,Sovereign,Grant | Loan,24/11/2014,"21,000,000.00",,"Agriculture, natural resources and rural development"
47338-001,Philippines,Sovereign,Grant,13/12/2013,0,,Public sector management
47341-001,India,Sovereign,Loan,28/03/2014,"500,000,000.00",,Transport
47341-002,India,Sovereign,Loan,01/04/2014,"300,000,000.00",,Transport
47356-001,Papua New Guinea,Sovereign,Technical Assistance,22/11/2017,"1,200,000.00",,Energy
47356-002,Papua New Guinea,Sovereign,Grant | Loan,15/06/2022,"208,600,000.00",Nation-wide,Energy
47358-002,Samoa,Sovereign,Grant,26/04/2018,"65,260,000.00",Apia Harbour Beacon (historical),Transport
47360-002,Pakistan,Sovereign,Loan,28/11/2017,"215,000,000.00",Khyber Pakhtunkhwa,Transport
47360-003,Pakistan,Sovereign,Loan,07/12/2018,"75,000,000.00",Khyber Pakhtunkhwa,Transport
47381-001,Sri Lanka,Sovereign,Loan,24/06/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development"
47381-002,Sri Lanka,Sovereign,Loan,02/07/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development"
47381-005,Sri Lanka,Sovereign,Loan,13/12/2017,"210,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development"
48003-002,"China, People's Republic of",Sovereign,Loan,09/12/2015,"130,000,000.00",Qingdao,Energy
48015-002,Mongolia,Sovereign,Loan | Technical Assistance,27/11/2015,"60,800,000.00",Nation-wide,Finance
48023-003,"China, People's Republic of",Sovereign,Loan,21/10/2016,"100,000,000.00",Ningsia Hui Autonomous Region,Transport
48024-002,"China, People's Republic of",Sovereign,Loan,14/11/2016,"150,000,000.00",Chongqing,Transport
48025-003,Uzbekistan,Sovereign,Loan,21/04/2017,"201,000,000.00","Nation-wide, Andijan, Namangan, Pop-Nalivnoy",Transport
48025-004,Uzbekistan,Sovereign,Loan,10/11/2020,"121,000,000.00",Nation-wide,Transport
48033-002,Regional,Sovereign,Technical Assistance,13/11/2020,"1,500,000.00",Afghanistan - Nation-wide; Azerbaijan - Nation-wide; China - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Mongolia - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Transport
48042-001,Afghanistan,Sovereign,Grant,26/10/2016,"44,280,000.00","Badakhshan, Kunduz, Takhar","Agriculture, natural resources and rural development"
48055-002,"China, People's Republic of",Sovereign,Loan,06/12/2016,"150,000,000.00",Xinyu,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
48076-002,Mongolia,Sovereign,Grant | Loan,28/11/2017,"25,000,000.00","Nation-wide, Arhangay Aymag, Darhan-Uul Aymag, Eastern Aymag, Khovd, Khovsgol, Middle Govi",Education | Health | Public sector management
48078-002,Pakistan,Sovereign,Grant | Loan,23/08/2016,"810,000,000.00",Nation-wide,Energy
48078-003,Pakistan,Sovereign,Loan,31/08/2016,"80,900,000.00","Faisalabad District, Guddu, Lahore, Rawat, Sahiwal",Energy
48078-004,Pakistan,Sovereign,Loan,29/09/2017,"260,000,000.00",Nation-wide,Energy
48078-005,Pakistan,Sovereign,Grant | Loan,28/06/2018,"280,000,000.00",Nation-wide,Energy
48078-006,Pakistan,Sovereign,Loan,08/12/2022,"189,000,000.00",Nation-wide,Energy
48096-002,Afghanistan,Sovereign,Grant,11/09/2019,"348,780,000.00",Kandahar,"Agriculture, natural resources and rural development"
48098-002,Pakistan,Sovereign,Grant | Loan | Technical Assistance,31/08/2018,"100,000,000.00",Balochistan,"Agriculture, natural resources and rural development"
